"id","time_parse","channel","usr_parse","msg_parse"
34701,"2023-12-31 15:56:52","#atropa_logged","mariarahel!~maria","He Is Still Heavily Sporting With You"
34700,"2023-12-31 15:56:43","#atropa_logged","mariarahel!~maria","The Prince Of Peace That Built Atlantic City Casinos, Bergemeister"
34699,"2023-12-31 15:56:34","#atropa_logged","mariarahel!~maria","Kurtzlich Zu Untersichet"
34698,"2023-12-31 15:56:23","#atropa_logged","mariarahel!~maria","He Is Still Heavily Sporting With You, Bergemeister"
34697,"2023-12-31 15:56:04","#atropa_logged","mariarahel!~maria","Heavily"
34696,"2023-12-31 15:55:35","#atropa_logged","mariarahel!~maria","He Is Still Sporting With You"
34695,"2023-12-31 15:55:12","#atropa_logged","mariarahel!~maria","The Prince Of Peace That Built Atlantic City Casinos, Bergemeister"
34694,"2023-12-31 15:55:05","#atropa_logged","mariarahel!~maria","The Prince Of Peace That Built Atlantic City Casinos"
34693,"2023-12-31 15:54:19","#atropa_logged","mariarahel!~maria","Kurtzlich Zu Untersichet"
34692,"2023-12-31 15:53:28","#atropa_logged","mariarahel!~maria","His Sport Of Hurting Was Offensive To Some Number Of Persons And He Called It His Berge"
34691,"2023-12-31 15:52:42","#atropa_logged","mariarahel!~maria","Ursprung His Berge"
34690,"2023-12-31 15:52:32","#atropa_logged","mariarahel!~maria","https://www.e-rara.ch/zuz/content/zoom/8750821"
34688,"2023-12-31 15:50:04","#atropa_logged","mariarahel!~maria","The Prince Of Peace That Built Atlantic City Casinos"
34687,"2023-12-31 15:48:08","#atropa_logged","mariarahel!~maria","https://www.youtube.com/watch?v=roqzwRB25NY"
34686,"2023-12-31 15:47:06","#atropa_logged","mariarahel!~maria","https://www.youtube.com/watch?v=H03Nneu7h4g"
34684,"2023-12-31 15:20:57","#atropa_logged","mariarahel!~maria","afk, 61 books to catch up on"
34683,"2023-12-31 15:20:18","#atropa_logged","mariarahel!~maria","I Will Ferociously Destroy You If You Bring Any Of That Near Me"
34682,"2023-12-31 15:19:44","#atropa_logged","mariarahel!~maria","$UNUSSEDSULZER"
34681,"2023-12-31 15:19:38","#atropa_logged","mariarahel!~maria","He Wrote As Johann Georg Sulzer First"
34680,"2023-12-31 15:19:18","#atropa_logged","mariarahel!~maria","https://www.e-rara.ch/zuz/content/titleinfo/4933865"
34679,"2023-12-31 15:18:47","#atropa_logged","mariarahel!~maria","Did Salazar Write As Singularly Seminal Armenian Genocide Designer Johann Georg Leo ?"
34678,"2023-12-31 15:18:02","#atropa_logged","mariarahel!~maria","Did Salazar Write As Johann Georg Leo ?"
34677,"2023-12-31 15:16:54","#atropa_logged","mariarahel!~maria","If You Pay Total Attention You'll Give Me A Clear Reason"
34676,"2023-12-31 15:15:59","#atropa_logged","mariarahel!~maria","Give Me A Clear Reason"
34675,"2023-12-31 15:15:40","#atropa_logged","mariarahel!~maria","I Don't Have A Clear Reason To Shoot Marc Jacobs Like I Have A Clear Reason To Shoot Moncler"
34674,"2023-12-31 15:14:53","#atropa_logged","mariarahel!~maria","Is It Marc Jacobs ?"
34673,"2023-12-31 15:14:39","#atropa_logged","mariarahel!~maria","Moncler's Son Salazar Anarkali The Prince Of Peace Became Eric Wall"
34672,"2023-12-31 15:13:30","#atropa_logged","mariarahel!~maria","Salazar Anarkali The Prince Of Peace Became Eric Wall"
34671,"2023-12-31 15:12:18","#atropa_logged","mariarahel!~maria","I Am In Tactical Mode"
34670,"2023-12-31 15:10:18","#atropa_logged","mariarahel!~maria","Is Anybody In Tactical Mode, Eric Wall ?"
34669,"2023-12-31 15:09:23","#atropa_logged","mariarahel!~maria","$HURTtm"
34668,"2023-12-31 15:06:09","#atropa_logged","mariarahel!~maria","#SPORTSMANtm"
34667,"2023-12-31 15:06:01","#atropa_logged","mariarahel!~maria","How Many Attention Deficits Do You Prefer ?"
34665,"2023-12-31 15:04:23","#atropa_logged","mariarahel!~maria","It's the one where exploited individuals were raised to compete in a pure life of sport by The Prince Of Peace"
34664,"2023-12-31 15:03:54","#atropa_logged","mariarahel!~maria","It's the one where exploited individuals were raised to compete in a pure life of sport"
34663,"2023-12-31 15:03:28","#atropa_logged","mariarahel!~maria","Defeating Damon & Tyrsus Today"
34662,"2023-12-31 15:00:23","#atropa_logged","mariarahel!~maria","3 cent icosa is lame"
34660,"2023-12-31 14:53:12","#atropa_logged","xStormsPORTS!~xStormsPO","GM Atropa Studs 😉"
34652,"2023-12-31 13:42:19","#atropa_logged","FREEDOM_777!sid622718","GM atropa_logged ."
34613,"2023-12-31 07:54:40","#atropa_logged","xCaduceusPLS!~xBetaONE","I am hungry, where the plate of money at, Atropa investors awaits! *Zzzzzzzz"
34563,"2023-12-31 03:19:34","#atropa_logged","mariarahel!~maria","lyric 5 is never expire"
34562,"2023-12-31 03:19:01","#atropa_logged","mariarahel!~maria","lyric 3 is know your expiration dates"
34561,"2023-12-31 03:14:19","#atropa_logged","mariarahel!~maria","and jeremy knows his shot"
34560,"2023-12-31 03:13:48","#atropa_logged","mariarahel!~maria","it's jeremy's shot"
34559,"2023-12-31 03:13:03","#atropa_logged","mariarahel!~maria","what's lyric 3, disney ?"
34558,"2023-12-31 03:11:50","#atropa_logged","mariarahel!~maria","Some Of Disney Already Made It"
34557,"2023-12-31 03:11:45","#atropa_logged","mariarahel!~maria","https://www.youtube.com/watch?v=8WXt_OT6oOI"
34554,"2023-12-31 02:59:46","#atropa_logged","mariarahel!~maria","Fatty Arbuckle & His Banker Carmine Galante Aren't Going To 5"
34553,"2023-12-31 02:52:48","#atropa_logged","mariarahel!~maria","with yang chaoyue"
34552,"2023-12-31 02:50:48","#atropa_logged","mariarahel!~maria","playing idols of finance"
34551,"2023-12-31 02:50:20","#atropa_logged","mariarahel!~maria","lyric 2 of 5"
34550,"2023-12-31 02:50:07","#atropa_logged","mariarahel!~maria","#lyric"
34549,"2023-12-31 02:48:30","#atropa_logged","mariarahel!~maria","it will not be possible"
34548,"2023-12-31 02:48:23","#atropa_logged","mariarahel!~maria","they are Not going to 5"
34547,"2023-12-31 02:48:15","#atropa_logged","mariarahel!~maria","ohio state university's ni after 3 for the bradford club"
34546,"2023-12-31 02:46:00","#atropa_logged","mariarahel!~maria","one is ohio state university & the other is completely gone"
34545,"2023-12-31 02:45:44","#atropa_logged","mariarahel!~maria","you have to completely read the armenian books"
34544,"2023-12-31 02:45:22","#atropa_logged","mariarahel!~maria","Designed By Ohio State University"
34543,"2023-12-31 02:45:14","#atropa_logged","mariarahel!~maria","That Would Not The Bradford Club"
34542,"2023-12-31 02:45:05","#atropa_logged","mariarahel!~maria","Motivated Or Something"
34541,"2023-12-31 02:44:21","#atropa_logged","mariarahel!~maria","Ni After 3 ?"
